rank_by_return,strategy_name,rsi_period,rsi_buy,rsi_sell,rsi_buy_period,rsi_sell_period,rsi_oversold,rsi_recovery_delta,bias_period,bias_buy,bias_sell,bias_fast_period,bias_fast_buy,bias_slow_period,bias_slow_sell,bias_cross_threshold,bb_period,bb_std,bb_width_threshold,trailing_stop_pct,consecutive_days,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
172,AsymRSI buy=RSI(10)<30 sell=RSI(21)>70,,30,70,10,21,,,,,,,,,,,,,,,,98.64,11.97,-48.2,72.22,13,5,36,2.15,0.5133,1083.5,2020-01-02,2026-04-28,1530
173,MT-BIAS buy=BIAS(5)<=-5% sell=BIAS(30)>=3%,,,,,,,,,,,5,-5,30,3,,,,,,,97.3,11.84,-39.07,73.68,14,5,38,3.33,0.5403,1083.5,2020-01-02,2026-04-28,1530
174,"BBw>=10% gate RSI(14,30,70)+BIAS(10,-3,7) bb_std=2.0",14,30,70,,,,,10,-3,7,,,,,,20,2.0,10,,,96.71,11.79,-49.22,62.5,5,3,16,2.75,0.5139,1083.5,2020-01-02,2026-04-28,1530
175,AsymRSI buy=RSI(7)<30 sell=RSI(21)>65,,30,65,7,21,,,,,,,,,,,,,,,,96.67,11.78,-49.4,76.92,20,6,52,1.94,0.4979,1083.5,2020-01-02,2026-04-28,1530
176,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(15)>=5%,,,,,,,,,,,3,-7,15,5,,,,,,,94.59,11.59,-22.98,100.0,7,0,14,999,0.6268,1083.5,2020-01-02,2026-04-28,1530
177,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(15)>=10%,,,,,,,,,,,5,-10,15,10,,,,,,,93.74,11.51,-28.37,80.0,4,1,10,69.86,0.6132,1083.5,2020-01-02,2026-04-28,1530
178,MT-BIAS buy=BIAS(3)<=-3% sell=BIAS(15)>=10%,,,,,,,,,,,3,-3,15,10,,,,,,,93.55,11.49,-54.88,63.64,7,4,22,2.17,0.4868,1083.5,2020-01-02,2026-04-28,1530
179,"ConsecDays(2) RSI(14,30,65)",14,30,65,,,,,,,,,,,,,,,,,2,92.48,11.39,-41.09,75.0,12,4,32,2.47,0.5692,1083.5,2020-01-02,2026-04-28,1530
180,AsymRSI buy=RSI(5)<35 sell=RSI(14)>65,,35,65,5,14,,,,,,,,,,,,,,,,91.52,11.3,-46.93,76.47,39,12,102,1.85,0.4837,1083.5,2020-01-02,2026-04-28,1530
181,"TrailStop(8%) RSI(14,30,65)",14,30,65,,,,,,,,,,,,,,,,8,,90.98,11.24,-43.64,62.5,20,12,64,1.75,0.5743,1083.5,2020-01-02,2026-04-28,1530
